n_components,knn_neighbors,knn_score
105,3,0.6
105,4,0.6
105,5,0.6222222222222222
105,6,0.6
106,1,0.8222222222222222
106,2,0.7333333333333333
106,3,0.7111111111111111
106,4,0.7333333333333333
106,5,0.6888888888888889
106,6,0.6
107,1,0.8222222222222222
107,2,0.7111111111111111
107,3,0.6888888888888889
107,4,0.7111111111111111
107,5,0.6666666666666666
107,6,0.6666666666666666
108,1,0.8444444444444444
108,2,0.6666666666666666
108,3,0.7111111111111111
108,4,0.7111111111111111
108,5,0.6444444444444445
108,6,0.6222222222222222
109,1,0.8444444444444444
109,2,0.6666666666666666
109,3,0.7111111111111111
109,4,0.6888888888888889
109,5,0.6222222222222222
109,6,0.6222222222222222
110,1,0.8444444444444444
110,2,0.7111111111111111
110,3,0.6888888888888889
110,4,0.6222222222222222
110,5,0.6
110,6,0.5555555555555556
111,1,0.8444444444444444
111,2,0.6666666666666666
111,3,0.6666666666666666
111,4,0.5555555555555556
111,5,0.5333333333333333
111,6,0.5555555555555556
112,1,0.8
112,2,0.6
112,3,0.6222222222222222
112,4,0.6
112,5,0.5777777777777777
112,6,0.5111111111111111
113,1,0.8222222222222222
113,2,0.6444444444444445
113,3,0.6666666666666666
113,4,0.6
113,5,0.5777777777777777
113,6,0.5111111111111111
114,1,0.7777777777777778
114,2,0.6
114,3,0.6
114,4,0.5111111111111111
114,5,0.4888888888888889
114,6,0.4666666666666667
115,1,0.7777777777777778
115,2,0.6222222222222222
115,3,0.6222222222222222
115,4,0.5777777777777777
115,5,0.5555555555555556
115,6,0.5111111111111111
116,1,0.8
116,2,0.6
116,3,0.6444444444444445
116,4,0.5555555555555556
116,5,0.6
116,6,0.5333333333333333
117,1,0.1111111111111111
117,2,0.06666666666666667
117,3,0.1111111111111111
117,4,0.1111111111111111
117,5,0.08888888888888889
117,6,0.08888888888888889
118,1,0.06666666666666667
118,2,0.08888888888888889
118,3,0.08888888888888889
118,4,0.06666666666666667
118,5,0.08888888888888889
118,6,0.022222222222222223
119,1,0.06666666666666667
119,2,0.044444444444444446
119,3,0.08888888888888889
119,4,0.08888888888888889
119,5,0.08888888888888889
119,6,0.06666666666666667
120,1,0.022222222222222223
120,2,0.044444444444444446
120,3,0.022222222222222223
120,4,0.044444444444444446
120,5,0.022222222222222223
120,6,0.044444444444444446
